iter	Passed	Remaining
0	59	59116
1	59	29675
2	59	19843
3	59	14926
4	60	11974
5	60	10007
6	60	8602
7	60	7558
8	61	6746
9	61	6091
10	61	5556
11	62	5111
12	62	4749
13	62	4422
14	63	4138
15	63	3889
16	63	3671
17	63	3477
18	63	3303
19	64	3148
20	64	3006
21	64	2877
22	64	2759
23	65	2651
24	65	2552
25	65	2460
26	65	2375
27	66	2296
28	66	2224
29	66	2156
30	66	2092
31	67	2032
32	67	1975
33	67	1921
34	67	1874
35	68	1829
36	68	1786
37	68	1743
38	69	1702
39	69	1665
40	69	1630
41	70	1600
42	70	1571
43	70	1540
44	71	1509
45	71	1480
46	71	1452
47	71	1426
48	72	1400
49	72	1376
50	72	1353
51	72	1330
52	73	1308
53	73	1287
54	73	1266
55	73	1246
56	74	1227
57	74	1208
58	74	1191
59	74	1174
60	75	1157
61	75	1140
62	75	1125
63	75	1109
64	76	1094
65	76	1080
66	76	1066
67	76	1052
68	77	1039
69	77	1026
70	77	1014
71	77	1002
72	78	990
73	78	979
74	78	968
75	78	958
76	79	947
77	79	937
78	79	927
79	79	919
80	80	909
81	80	900
82	80	889
83	80	880
84	81	873
85	81	867
86	81	860
87	82	852
88	82	845
89	82	837
90	83	829
91	83	821
92	83	814
93	83	806
94	84	801
95	84	793
96	84	787
97	84	780
98	85	774
99	85	767
100	85	761
101	85	755
102	86	749
103	86	743
104	86	737
105	86	731
106	87	726
107	87	721
108	87	715
109	87	710
110	88	706
111	88	702
112	89	699
113	89	696
114	90	693
115	90	689
116	90	684
117	90	679
118	91	675
119	91	670
120	91	666
121	91	660
122	92	656
123	92	652
124	92	648
125	92	644
126	93	640
127	93	636
128	93	632
129	94	629
130	94	625
131	94	621
132	94	617
133	95	614
134	95	610
135	95	606
136	95	603
137	96	599
138	96	596
139	96	592
140	96	589
141	96	585
142	97	582
143	97	579
144	97	575
145	97	572
146	98	569
147	98	566
148	98	563
149	98	560
150	99	557
151	99	554
152	99	551
153	99	548
154	100	545
155	100	543
156	100	540
157	100	537
158	101	534
159	101	532
160	101	528
161	101	526
162	101	523
163	102	520
164	102	518
165	102	515
166	102	513
167	103	510
168	103	508
169	103	505
170	103	503
171	104	501
172	104	498
173	104	496
174	104	494
175	105	491
176	105	489
177	105	487
178	105	485
179	106	483
180	106	480
181	106	478
182	106	476
183	106	474
184	107	472
185	107	470
186	107	467
187	107	466
188	108	464
189	108	462
190	108	460
191	108	458
192	109	456
193	109	454
194	109	452
195	109	450
196	110	449
197	110	447
198	110	445
199	110	443
200	111	441
201	111	439
202	111	438
203	111	436
204	112	434
205	112	433
206	112	431
207	112	429
208	113	427
209	113	426
210	113	424
211	113	422
212	113	421
213	114	419
214	114	418
215	114	416
216	115	415
217	115	413
218	115	412
219	115	410
220	116	408
221	116	407
222	116	406
223	116	404
224	117	403
225	117	401
226	117	400
227	117	398
228	117	397
229	118	395
230	118	394
231	118	393
232	118	391
233	119	390
234	119	388
235	119	388
236	120	386
237	120	385
238	120	383
239	120	382
240	121	381
241	121	380
242	121	379
243	122	380
244	122	378
245	123	378
246	123	376
247	123	375
248	124	374
249	124	373
250	124	371
251	124	370
252	125	369
253	125	368
254	125	366
255	125	365
256	126	364
257	126	363
258	126	362
259	126	361
260	127	360
261	127	358
262	127	357
263	127	356
264	128	355
265	128	354
266	128	353
267	129	352
268	129	351
269	129	349
270	129	348
271	129	347
272	130	346
273	130	345
274	130	344
275	130	343
276	131	342
277	131	341
278	131	340
279	132	339
280	132	338
281	132	337
282	132	336
283	133	335
284	133	334
285	133	333
286	133	332
287	134	331
288	134	330
289	134	329
290	135	328
291	135	328
292	135	327
293	135	326
294	136	325
295	136	324
296	136	323
297	136	322
298	137	321
299	137	320
300	137	319
301	137	318
302	138	317
303	138	317
304	138	316
305	139	315
306	139	314
307	139	313
308	139	312
309	140	311
310	140	310
311	140	309
312	140	308
313	140	307
314	141	306
315	141	306
316	141	305
317	141	304
318	142	303
319	142	302
320	142	301
321	142	300
322	143	299
323	143	299
324	143	298
325	143	297
326	144	296
327	144	295
328	144	294
329	144	294
330	145	293
331	145	292
332	145	291
333	145	290
334	146	290
335	146	289
336	146	288
337	146	287
338	147	287
339	147	286
340	147	285
341	147	284
342	148	283
343	148	282
344	148	282
345	148	281
346	149	280
347	149	279
348	149	278
349	149	278
350	149	277
351	150	276
352	150	275
353	150	275
354	150	274
355	151	273
356	151	272
357	151	272
358	151	271
359	152	270
360	152	269
361	152	269
362	152	268
363	153	267
364	153	266
365	153	266
366	153	265
367	154	264
368	154	263
369	154	263
370	154	262
371	154	261
372	155	260
373	155	260
374	155	259
375	155	258
376	156	258
377	156	257
378	156	256
379	156	256
380	157	255
381	157	254
382	157	254
383	157	253
384	158	252
385	158	252
386	158	251
387	159	250
388	159	250
389	159	249
390	159	248
391	160	248
392	160	247
393	160	246
394	160	246
395	161	245
396	161	245
397	161	244
398	161	243
399	162	243
400	162	242
